,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
2161,"Development of metamaterial substrates and superstrates for conformal, electrically small antennas with radiation near the horizon.",15-0108,New,560232,A15-0296-001,10000,800561578,"Adams, Ryan","Adams, Ryan",CUNY Center for Metamaterials,Educational and Research Institutions,21656,No,,['recFIJWzoCvufHhxn'],Elec and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,7/14/2015,7,2016,2014-08-12,2015-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),6010,All Other Business and Industry,,,,Electrical & Computer Engineering,ENG,76300-F,OS - Other Sponsored Activities (401),0,,,,
2503,"First Phase of Development of a Low-Cost, Portable, and RapidNondestructive Inspection Tool for Wood Distribution Poles",16-0368,New,560425,A15-0133-003,154245,800720938,"Whelan, Matthew","Whelan, Matthew",Duke Energy Corporation,Business and Industry,11039,No,"Young, David",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,10/26/2016,10,2017,2015-01-01,2020-03-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,SOW #7 MOD2,OR - Organized Research (110),0,,,,
2093,Latinx Foodways in the New South,18-0533,New,560579,A18-0206-001,1000,801034748,"Salas, Consuelo","Salas, Consuelo",Association for the Study of Food and Society (ASFS),Association,33220,No,"Hammelman, Colleen",['rec20fwAViRGFIwjK'],University Writing Programs,College of Liberal Arts and Sciences,18050,University Writing Programs,18050,University Writing Programs,College of Liberal Arts and Sciences,3/23/2018,3,2018,2018-02-16,2018-07-31,New,(10 - 15) Grant,06 - Other,,,,,,University Writing Programs,CLAS,Letter Dated 02/26/2018,OS - Other Sponsored Activities (401),0,,,,
3492,Programmatic Initiatives Support,15-0742,New,560243,A16-0012-001,12000,800682805,"Lewis, Chance","Lewis, Chance",TresSports Interagency Collaborative (TIC),Nonprofit Organization,24508,No,,['recZ1ZVxThREDMLBj'],"Middle, Secondary and K-12 Education",College of Education,21200,"Middle, Secondary and K-12 Education",21200,"Middle, Secondary and K-12 Education",College of Education,6/9/2015,6,2015,2015-07-01,2016-06-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Middle Grades Secondary & K-12,Education,2975-2015-0742,PS - Public Service (401),0,,,,
1802,Collaborative Research: AGEP Transformation Alliance: A Department-Led Model for Increasing Diversity from the Doctorate to the Professoriate,18-0353,New,,A18-0243-002,303689,800016865,"Huet, Yvette","Huet, Yvette",National Science Foundation (NSF),Federal,5738,No,"Merriweather, Lisa",['recm6FB6yXJRiHfvg'],Advance Fado,Academic Affairs,13301,Advance Fado,13301,Advance Fado,Academic Affairs,8/13/2019,8,2020,2018-06-01,2023-05-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Advance Fado,Academic Affairs,1820582 MOD1,OR - Organized Research (110),47.076,,,,
1902,SCC: Building Safe and Secure Communities through Realtime Edge Video Analytics,18-0625,New,530754,A19-0075-001,1897466,800980145,"Tabkhivayghan, Hamed","Tabkhivayghan, Hamed",NSF Computer and Information Science and Engineering (CISE),Federal,5745,No,"Ravindran, Arun; Shoemaker, Douglas; Reid, Shannon; Pulugurtha, Srinivas;",['recFIJWzoCvufHhxn'],Electrical and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,9/9/2018,9,2019,2018-10-01,2022-09-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Electrical & Computer Engineering,ENG,1831795,OR - Organized Research (110),47.07,,,,
705,Field-Scale Testing of Hydrology of Water Balance Covers,15-0421,Supplement,560048,A14-0132-002,53500,800799381,"Khire, Milind","Khire, Milind","Waste Management, Inc.",Business and Industry,10647,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,4/9/2015,4,2015,2013-12-02,2020-12-15,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,2975-2014-0360 - Amend 1,OR - Organized Research (110),0,,,,
4163,International Facility Management Association Operations and Maintenance Report,17-0719,Supplement,560402,A17-0065-002,11075,800970576,"Smithwick, Jake","Smithwick, Jake",International Facility Management Association (IFMA),Association,27435,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,5/9/2017,5,2017,2016-07-01,2021-06-30,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Engineering Tech & Constr Mgmt,ENG,2975-2016-0823 MOD2,OR - Organized Research (110),0,,,,
4171,Training Engineers on the Selection and Application of Appropriate Tools for Advanced CFD Analyses,19-0439,New,560652,A19-0157-001,42960,800589714,"Uddin, Mesbah","Uddin, Mesbah",Mitchell Community College,Educational and Research Institutions,12851,No,,['rec1NM8Qi1Vd5d9RM'],Motorsports and Automotive Research Center,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,2/27/2019,2,2019,2019-02-15,2019-08-15,New,(20 - 25) Contract,02 - Instruction,,,,,,Motorsports Engineering,ENG,2975-2019-0439,SI - Sponsored Instruction (101),0,,,,
1371,UNC Charlotte PhD Program in Special Education with a Specialty in Multi-tiered Interventions,17-0485,,530604,A18-0066-004,125002,800369488,"Wood, Charles","Wood, Charles",US Department of Education (DOED),Federal,5500,No,,['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,,,21000,Special Education and Child Development,College of Education,9/11/2019,9,2020,2018-01-01,2019-12-31,,(10 - 15) Grant,06 - Other,,,,,,Special Ed & Child Dev,Education,H325D170087-19,OS - Other Sponsored Activities (401),84.325,,,,
2825,Phase II I/UCRC UNC Charlotte: Center for Freeform Optics,19-0350,Supplement,530762,A19-0085-003,86505,800015145,"Suleski, Thomas","Suleski, Thomas",National Science Foundation (NSF),Federal,5738,No,"Falaggis, Konstantinos; Dennis, Yates;",['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,8/27/2019,8,2020,2018-09-01,2023-08-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Physics and Optical Science,CLAS,1822026 MOD4,OR - Organized Research (110),47.041,,,9/13/2019,
1571,SBIR: Diffuse Optical Boundary Transmission Enhanced IR Components.,17-0267,New,530506,A17-0141-001,35000,800587787,"Poutous, Menelaos","Poutous, Menelaos","Nanohmics, Inc.",Business and Industry,23483,No,,['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,1/18/2017,1,2017,2016-12-14,2017-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5522,Department of Defense (DOD),,,,Physics and Optical Science,CLAS,2975-17-0267,OR - Organized Research (110),12,,,,
2174,"African Diaspora Collective Action: Rituals, Runaways, and the Haitian Revolution",18-0635,New,Direct Award Dated 04/13/2018,A18-0214-001,1000,801004688,"Eddins, Crystal","Eddins, Crystal",University of Florida Center for Latin American Studies,Educational and Research Institutions,33163,No,,['recSkNZVvs2t2Tdor'],Africana Studies,College of Liberal Arts and Sciences,17100,Africana Studies,17100,Africana Studies,College of Liberal Arts and Sciences,4/18/2018,4,2018,2018-05-30,2018-06-12,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Africana Studies,CLAS,,,0,,,,
572,CAREER: Integrative Approaches to Uncovering Complex Genotype-Phenotype Relationships in High Dimensional Genomics Data,18-0037,New,530709,A19-0020-002,112132,800809241,"Shi, Xinghua","Shi, Xinghua",National Science Foundation (NSF),Federal,5738,No,"Qingge, Letu",['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23270,Bioinformatics and Genomics,23270,Bioinformatics and Genomics,College of Computing and Informatics,6/24/2019,6,2019,2018-06-15,2023-05-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,BIG,CCI,1750632 MOD1,OR - Organized Research (110),47.074,,,,
3329,Fire Ember Production from Wildland and Structural Fuels,17-0745,Supplement,530311,A16-0040-002,15946,800934228,"Braxtan, Nicole","Zhou, Aixi",Joint Fire Science Program (JFSP),Federal,20108,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,22200,Civil and Environmental Engineering,21800,Engineering Technology and Construction Management,College of Engineering,6/14/2017,6,2017,2015-09-01,2019-08-31,Supplement,Cooperative_Agreement,01 - Research & Development (R&D),,,,,,Engineering Tech & Constr Mgmt,ENG,15-CA-11272167-053 MOD1,OS - Other Sponsored Activities (401),10.652,,,,
104,UNC Charlotte North Carolina Science Festival Events.,16-0465,New,CRI fund,A16-0162-001,2500,800369863,"Hathaway, James","Hathaway, James",Morehead Planetarium and Science Center,Educational and Research Institutions,22965,No,,['recQPAGc1vmcnPge8'],Research and Economic Development,Academic Affairs,24400,Research and Economic Development,24400,Research and Economic Development,Academic Affairs,1/19/2016,1,2016,2016-01-01,2016-05-31,New,(10 - 15) Grant,03 - Public Service,13054,University of North Carolina General Administration (UNC GA),,,,Research and Economic Dev. VC,Academic Affairs,DIRECT Award Signed 01/19/2016,PS - Public Service (401),0,,,,
589,Phase II CfM Industry Membership Funds,17-0096,,560398,A17-0045-024,30000,800754593,"Aggarwal, Ishwar","Aggarwal, Ishwar",All Other Business and Industry,Business and Industry,6010,No,,['recIFxtNxm1RKXI2Z'],Physics and Optical Science,College of Liberal Arts and Sciences,,,18800,Physics and Optical Science,College of Liberal Arts and Sciences,11/14/2019,11,2020,2016-07-15,2021-06-30,Supplement,Other - Choose,01 - Research & Development (R&D),,,,,,Physics and Optical Science,CLAS,Corning YR 3 Enhancement Project,OR - Organized Research (110),0,,,,
2762,Correlative study of defects in semiconductors,16-0357,New,530412,A16-0229-005,39957,800664217,"Zhang, Yong","Zhang, Yong",DOD DA Army Research Office (ARO),Federal,5564,No,,['recFIJWzoCvufHhxn'],Electrical and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,7/3/2019,7,2020,2016-05-02,2019-11-01,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Electrical & Computer Engineering,ENG,W911NF-16-1-0263 MOD5,OR - Organized Research (110),12.431,,,,
2305,A Child's Place: End-of-Year Report Technical Assistance and Study of Students Served in 2016-2017,18-0064,New,560517,A18-0074-001,9000,800699122,"Gavarkavich, Diane","Gavarkavich, Diane",A Child's Place,Nonprofit Organization,23783,No,"Gaines, Angelique; Lane, Justin;",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,8/22/2017,8,2018,2017-08-01,2018-05-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 07/26/2017,PS - Public Service (401),0,,,,
157,CRII: SaTC: Hardware based Authentication and Trusted Platform Module functions (HAT) for IoTs (GRANT TRANSFER),18-0437,New,530646,A16-0298-001,137245,801036320,"Saqib, Fareena","Saqib, Fareena",National Science Foundation (NSF),Federal,5738,No,,['recFIJWzoCvufHhxn'],Electrical and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,1/12/2018,1,2018,2017-08-05,2020-05-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Electrical & Computer Engineering,ENG,1819687,OR - Organized Research (110),47.07,,,,
1460,3 Fiber Ferrules and Ferrule Masks,16-0590,Supplement,560341,A16-0199-001,6965,800305042,"Owen, Joseph","Owen, Joseph",Magic Leap Inc.,Business and Industry,24302,No,"Davies, Matthew",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,3/25/2016,3,2016,2016-03-01,2016-08-16,New,(20 - 25) Contract,06 - Other,,,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,Task Statement Number 10,OS - Other Sponsored Activities (401),0,,,,
1114,City Walks: Discover Charlotte's Neighborhood Stories,17-0128,New,560417,A17-0091-001,15000,800627381,"Newsom, Mary","Newsom, Mary",John S and James L Knight Foundation,Foundation,13799,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,10/31/2016,10,2017,2016-11-01,2018-03-31,New,(10 - 15) Grant,03 - Public Service,,,,,,Urban Institute,Academic Affairs,None,PS - Public Service (401),0,6/30/2017,,,
2338,"Effects of Tidally Mediated Hydrology on Biogeochemical Processes in a Bottomland Hardwood Riparian Zone - A Collaborative Research Proposal between the Univ. of North Carolina at Charlotte and the U.S. Forest Service, Southern Research Station",17-0122,Supplement,530202,A15-0064-002,6000,800208146,"Allan, Craig","Allan, Craig",USDA Forest Service Southern Research Station,Federal,5708,No,,['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,8/24/2016,8,2017,2014-08-15,2016-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Geography and Earth Sciences,CLAS,14-JV-11330140-135 MOD1,OR - Organized Research (110),10.679,,,,
934,A 3D human neural cell culture system for studying neuron-microglia interaction in Alzheimer's disease,15-0668,New,560280,A15-0317-001,150000,800882703,"Cho, Hansang","Cho, Hansang",Cure Alzheimer's Fund,Nonprofit Organization,24771,No,"Kang, You Jung",['recdJ15W6c5OFk89D'],Center for Biomedical Engineering and Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/21/2015,8,2016,2015-09-01,2018-12-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CBES,ENG,Letter Dated 8/21/15,OS - Other Sponsored Activities (401),0,8/31/2017,,,
466,Institutional Transformations and Shifting Patterns of Social Inequality in Urban China,15-0251,New,560248,A16-0023-001,25631,800205590,"Zhao, Wei","Zhao, Wei",Chiang Ching-Kuo Foundation (CCKF),Foundation,13364,No,,['recnI1vgSwToVQMP6'],Sociology,College of Liberal Arts and Sciences,19300,Sociology,19300,Sociology,College of Liberal Arts and Sciences,6/26/2015,6,2015,2015-07-01,2016-04-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Sociology,CLAS,GS025-A-14,OS - Other Sponsored Activities (401),0,6/30/2016,,,
2232,PFI: AIR-TT: Video Collaboratory: A Platform for Active Viewing and Collaboration with Video Data,15-0193,New,53A321,A15-0304-001,199917,800211733,"Wilson, David","Wilson, David",National Science Foundation (NSF),Federal,5738,No,"Latulipe, Celine; Collins, Devin; Huskey, Sybil; Singh, Vikash;",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,7/10/2015,7,2016,2015-07-15,2017-12-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1500195,OR - Organized Research (110),47.041,,,,
3989,UNC Charlotte PhD Program in Special Education with a Specialty in Multi-tiered Interventions,17-0485,New,530604,A18-0066-001,249996,800369488,"Wood, Charles","Wood, Charles",US Department of Education (DOED),Federal,5500,No,"Lo, Ya-yu",['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,8/17/2017,8,2018,2018-01-01,2019-12-31,New,(10 - 15) Grant,06 - Other,,,,,,Special Ed & Child Dev,Education,H325D170087,OS - Other Sponsored Activities (401),84.325,,,,
1062,Assessment Practices to Support Mathematics Learning and Understanding for Students (APLUS),12-0646,New,530204,A13-0240-001,268445,800005479,"Pugalee, David","Pugalee, David",Kannapolis City Schools,Local Government,17567,No,"Polly, Andrew; Wang, Chuang; Stephan, Michelle; Lambert, Richard; Cifarelli, Victor;",['recZyAPX0CicJHhWB'],Center for STEM Education (Dpt),College of Education,20800,Center for STEM Education,20800,Ctr For Math/Sci/Tech Ed (Dpt),College of Education,11/4/2014,11,2015,2014-10-01,2015-09-30,New,(20 - 25) Contract,02 - Instruction,17444,North Carolina Department of Public Instruction (NCDPI),,,,Ctr For STEM Education,Education,None,OR - Organized Research (110),83.366,,,,
1513,International Facility Management Association Operations and Maintenance Report,"16-0823, 18-0552",,560402,A17-0065-001,37000,800970576,"Smithwick, Jake","Smithwick, Jake",International Facility Management Association (IFMA),Association,27435,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,9/7/2016,9,2017,2016-07-01,2021-06-30,New,(20 - 25) Contract,"01 - Research & Development (R&D), 01 - Research & Development (R&D)",,,,,,Engineering Tech & Constr Mgmt,ENG,2975-2016-0823,OR - Organized Research (110),0,,,,
